No.,Time,Source,Destination,Protocol,Length,Info,attack_probability,prediction,confidence
1,0.0,192.168.100.130,2.17.161.67,QUIC,1292,"Initial, DCID=2041f9e83198abb0, PKN: 1, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PING, PADDING, PING, PADDING, PING, PING, PADDING, CRYPTO",0.931376,ATTACK,0.931376
2,8.2e-05,192.168.100.130,2.17.161.67,QUIC,1292,"Initial, DCID=2041f9e83198abb0, PKN: 2, PING, PADDING, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING",0.931376,ATTACK,0.931376
3,0.017925,2.17.161.67,192.168.100.130,QUIC,82,"Initial, SCID=48c6591b3940fd2b, PKN: 1, ACK",0.931376,ATTACK,0.931376
4,0.018964,2.17.161.67,192.168.100.130,QUIC,1292,"Initial, SCID=48c6591b3940fd2b, PKN: 2, ACK, PADDING",0.931376,ATTACK,0.931376
5,0.020182,2.17.161.67,192.168.100.130,QUIC,1292,"Initial, SCID=48c6591b3940fd2b, PKN: 3, CRYPTO, PADDING",0.931376,ATTACK,0.931376
6,0.020182,2.17.161.67,192.168.100.130,QUIC,296,"Handshake, SCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
7,0.0234,192.168.100.130,2.17.161.67,QUIC,1292,"Handshake, DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
8,0.023576,192.168.100.130,2.17.161.67,QUIC,131,"Handshake, DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
9,0.0237,192.168.100.130,2.17.161.67,QUIC,114,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
10,0.023767,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
11,0.063383,192.168.100.130,2.17.161.67,QUIC,203,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
12,0.065625,2.17.161.67,192.168.100.130,QUIC,345,Protected Payload (KP0),0.931376,ATTACK,0.931376
13,0.066003,2.17.161.67,192.168.100.130,QUIC,104,Protected Payload (KP0),0.931376,ATTACK,0.931376
14,0.066317,192.168.100.130,2.17.161.67,QUIC,73,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
15,0.067469,2.17.161.67,192.168.100.130,QUIC,63,Protected Payload (KP0),0.931376,ATTACK,0.931376
16,0.067469,2.17.161.67,192.168.100.130,QUIC,112,Protected Payload (KP0),0.931376,ATTACK,0.931376
17,0.067469,2.17.161.67,192.168.100.130,QUIC,65,Protected Payload (KP0),0.931376,ATTACK,0.931376
18,0.067729,192.168.100.130,2.17.161.67,QUIC,73,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
19,0.076921,2.17.161.67,192.168.100.130,QUIC,67,Protected Payload (KP0),0.931376,ATTACK,0.931376
20,0.289444,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
21,0.301342,2.17.161.67,192.168.100.130,QUIC,67,Protected Payload (KP0),0.931376,ATTACK,0.931376
22,0.436163,192.168.100.130,162.254.196.80,TLSv1.2,108,Application Data,0.931376,ATTACK,0.931376
23,0.515519,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
24,0.558798,2.17.161.67,192.168.100.130,QUIC,68,Protected Payload (KP0),0.931376,ATTACK,0.931376
25,0.574354,162.254.196.80,192.168.100.130,TCP,60,27019  >  27183 [ACK] Seq=1 Ack=55 Win=2772 Len=0,0.931376,ATTACK,0.931376
26,0.774254,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
27,0.81294,2.17.161.67,192.168.100.130,QUIC,68,Protected Payload (KP0),0.931376,ATTACK,0.931376
28,1.016295,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
29,1.053599,2.17.161.67,192.168.100.130,QUIC,68,Protected Payload (KP0),0.931376,ATTACK,0.931376
30,1.260007,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
31,1.322904,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
32,1.325357,2.17.161.67,192.168.100.130,QUIC,68,Protected Payload (KP0),0.931376,ATTACK,0.931376
33,1.336138,2.17.161.67,192.168.100.130,QUIC,69,Protected Payload (KP0),0.931376,ATTACK,0.931376
34,1.337776,2.17.161.67,192.168.100.130,QUIC,1494,Protected Payload (KP0),0.931376,ATTACK,0.931376
35,1.371955,192.168.100.130,2.17.161.67,QUIC,74,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
36,1.549909,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
37,1.595306,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
38,1.613367,192.168.100.130,41.90.72.32,TCP,55,58843  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1,0.931376,ATTACK,0.931376
39,1.620057,41.90.72.32,192.168.100.130,TCP,66,443  >  58843 [ACK] Seq=1 Ack=2 Win=567 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
40,2.003499,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
41,2.0437,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
42,2.277934,192.168.100.130,3.173.21.63,TCP,55,32564  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 93],0.931376,ATTACK,0.931376
43,2.292871,3.173.21.63,192.168.100.130,TCP,66,443  >  32564 [ACK] Seq=1 Ack=2 Win=352 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
44,2.310567,192.168.100.130,3.173.21.63,TCP,55,17903  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1,0.931376,ATTACK,0.931376
45,2.322512,3.173.21.63,192.168.100.130,TCP,66,443  >  17903 [ACK] Seq=1 Ack=2 Win=142 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
46,2.510577,192.168.100.130,135.225.242.109,TLSv1.2,105,Application Data,0.931376,ATTACK,0.931376
47,2.567017,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
48,2.695804,135.225.242.109,192.168.100.130,TLSv1.2,94,Application Data,0.931376,ATTACK,0.931376
49,2.7458,192.168.100.130,135.225.242.109,TCP,54,14448  >  443 [ACK] Seq=52 Ack=41 Win=253 Len=0,0.931376,ATTACK,0.931376
50,2.771853,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
51,2.859834,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
52,2.900179,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
53,2.973377,192.168.100.130,47.246.7.204,TCP,55,25321  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,0.931376,ATTACK,0.931376
54,3.049391,47.246.7.204,192.168.100.130,TCP,66,443  >  25321 [ACK] Seq=1 Ack=2 Win=83 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
55,3.318722,192.168.100.130,192.168.100.5,TCP,66,57203  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
56,3.321514,192.168.100.130,192.168.1.4,TCP,66,57204  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
57,3.587262,192.168.100.130,51.11.192.51,TCP,54,"29507  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1020 Len=0",0.931376,ATTACK,0.931376
58,3.58777,192.168.100.130,41.90.72.8,TCP,54,"29501  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0",0.931376,ATTACK,0.931376
59,3.59565,41.90.72.8,192.168.100.130,TLSv1.2,78,Application Data,0.931376,ATTACK,0.931376
60,3.59565,41.90.72.8,192.168.100.130,TCP,54,"443  >  29501 [FIN, ACK] Seq=25 Ack=2 Win=554 Len=0",0.931376,ATTACK,0.931376
61,3.595801,192.168.100.130,41.90.72.8,TCP,54,"29501  >  443 [RST, ACK] Seq=2 Ack=25 Win=0 Len=0",0.931376,ATTACK,0.931376
62,3.706426,192.168.100.5,192.168.100.130,TCP,60,"7680  >  57203 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0.931376,ATTACK,0.931376
63,3.718013,51.11.192.51,192.168.100.130,TCP,54,"443  >  29507 [FIN, ACK] Seq=1 Ack=2 Win=16381 Len=0",0.931376,ATTACK,0.931376
64,3.718168,192.168.100.130,51.11.192.51,TCP,54,29507  >  443 [ACK] Seq=2 Ack=2 Win=1020 Len=0,0.931376,ATTACK,0.931376
65,4.217141,192.168.100.130,192.168.100.5,TCP,66,[TCP Port numbers reused] 57203  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
66,4.330877,192.168.100.130,192.168.1.4,TCP,66,[TCP Retransmission] 57204  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
67,4.353188,192.168.100.5,192.168.100.130,TCP,60,"7680  >  57203 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0.931376,ATTACK,0.931376
68,4.510389,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
69,4.549249,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
70,4.865382,192.168.100.130,192.168.100.5,TCP,66,[TCP Port numbers reused] 57203  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
71,4.968464,192.168.100.5,192.168.100.130,TCP,60,"7680  >  57203 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0.931376,ATTACK,0.931376
72,5.480191,192.168.100.130,192.168.100.5,TCP,66,[TCP Port numbers reused] 57203  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
73,5.518656,192.168.100.130,52.182.141.63,TLSv1.2,172,Application Data,0.931376,ATTACK,0.931376
74,5.51891,192.168.100.130,52.182.141.63,TLSv1.2,93,Application Data,0.931376,ATTACK,0.931376
75,5.519035,192.168.100.130,52.182.141.63,TLSv1.2,3152,Application Data,0.931376,ATTACK,0.931376
76,5.582117,192.168.100.5,192.168.100.130,TCP,60,"7680  >  57203 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0.931376,ATTACK,0.931376
77,5.612992,192.168.100.130,52.182.141.63,TLSv1.2,322,Application Data,0.931376,ATTACK,0.931376
78,5.613304,192.168.100.130,52.182.141.63,TLSv1.2,2647,Application Data,0.931376,ATTACK,0.931376
79,5.743899,52.182.141.63,192.168.100.130,TCP,60,443  >  57196 [ACK] Seq=1 Ack=158 Win=16386 Len=0,0.931376,ATTACK,0.931376
80,5.744074,52.182.141.63,192.168.100.130,TCP,60,443  >  57196 [ACK] Seq=1 Ack=2982 Win=16386 Len=0,0.931376,ATTACK,0.931376
81,5.746956,52.182.141.63,192.168.100.130,TLSv1.2,93,Application Data,0.931376,ATTACK,0.931376
82,5.799854,192.168.100.130,52.182.141.63,TCP,54,57196  >  443 [ACK] Seq=6117 Ack=40 Win=253 Len=0,0.931376,ATTACK,0.931376
83,5.837305,52.182.141.63,192.168.100.130,TCP,60,443  >  57196 [ACK] Seq=40 Ack=3256 Win=16385 Len=0,0.931376,ATTACK,0.931376
84,5.847864,52.182.141.63,192.168.100.130,TCP,60,443  >  57196 [ACK] Seq=40 Ack=4936 Win=16386 Len=0,0.931376,ATTACK,0.931376
85,5.963522,52.182.141.63,192.168.100.130,TCP,60,443  >  57196 [ACK] Seq=40 Ack=6117 Win=16382 Len=0,0.931376,ATTACK,0.931376
86,6.087582,192.168.100.130,192.168.100.5,TCP,66,[TCP Port numbers reused] 57203  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
87,6.088732,52.182.141.63,192.168.100.130,TLSv1.2,153,Application Data,0.931376,ATTACK,0.931376
88,6.090469,192.168.100.130,52.182.141.63,TLSv1.2,89,Application Data,0.931376,ATTACK,0.931376
89,6.198181,192.168.100.5,192.168.100.130,TCP,60,"7680  >  57203 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0.931376,ATTACK,0.931376
90,6.313579,52.182.141.63,192.168.100.130,TLSv1.2,153,Application Data,0.931376,ATTACK,0.931376
91,6.317769,192.168.100.130,192.168.100.1,DNS,77,Standard query 0x623a HTTPS chat.deepseek.com,0.931376,ATTACK,0.931376
92,6.318166,192.168.100.130,192.168.100.1,DNS,77,Standard query 0xf83b A chat.deepseek.com,0.931376,ATTACK,0.931376
93,6.31867,192.168.100.130,3.173.21.63,TLSv1.2,170,Ignored Unknown Record,0.931376,ATTACK,0.931376
94,6.318758,192.168.100.130,3.173.21.63,TLSv1.2,93,Application Data,0.931376,ATTACK,0.931376
95,6.329721,192.168.100.1,192.168.100.130,DNS,142,Standard query response 0x623a HTTPS chat.deepseek.com CNAME d3bbv8sr76az5s.cloudfront.net HTTPS,0.931376,ATTACK,0.931376
96,6.33041,192.168.100.1,192.168.100.130,DNS,136,Standard query response 0xf83b A chat.deepseek.com CNAME d3bbv8sr76az5s.cloudfront.net A 3.173.21.63,0.931376,ATTACK,0.931376
97,6.335324,3.173.21.63,192.168.100.130,TCP,60,443  >  32564 [ACK] Seq=1 Ack=118 Win=352 Len=0,0.931376,ATTACK,0.931376
98,6.335567,3.173.21.63,192.168.100.130,TCP,60,443  >  32564 [ACK] Seq=1 Ack=157 Win=352 Len=0,0.931376,ATTACK,0.931376
99,6.336057,3.173.21.63,192.168.100.130,TLSv1.2,93,Application Data,0.931376,ATTACK,0.931376
100,6.342333,192.168.100.130,192.168.1.4,TCP,66,[TCP Retransmission] 57204  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
101,6.358505,192.168.100.130,52.182.141.63,TCP,54,57196  >  443 [ACK] Seq=6152 Ack=238 Win=253 Len=0,0.931376,ATTACK,0.931376
102,6.390258,192.168.100.130,3.173.21.63,TCP,54,32564  >  443 [ACK] Seq=157 Ack=40 Win=255 Len=0,0.931376,ATTACK,0.931376
103,6.580947,3.173.21.63,192.168.100.130,TLSv1.2,1062,Application Data,0.931376,ATTACK,0.931376
104,6.581838,3.173.21.63,192.168.100.130,TLSv1.2,86,Application Data,0.931376,ATTACK,0.931376
105,6.581901,192.168.100.130,3.173.21.63,TCP,54,32564  >  443 [ACK] Seq=157 Ack=1080 Win=251 Len=0,0.931376,ATTACK,0.931376
106,6.581999,3.173.21.63,192.168.100.130,TLSv1.2,85,Application Data,0.931376,ATTACK,0.931376
107,6.585052,192.168.100.130,3.173.21.63,TLSv1.2,89,Application Data,0.931376,ATTACK,0.931376
108,6.629068,192.168.100.130,47.246.7.204,TLSv1.2,605,Application Data,0.931376,ATTACK,0.931376
109,6.645927,3.173.21.63,192.168.100.130,TCP,60,443  >  32564 [ACK] Seq=1111 Ack=192 Win=352 Len=0,0.931376,ATTACK,0.931376
110,6.709421,47.246.7.204,192.168.100.130,TCP,60,443  >  61814 [ACK] Seq=1 Ack=552 Win=83 Len=0,0.931376,ATTACK,0.931376
111,7.166858,47.246.7.204,192.168.100.130,TLSv1.2,920,Application Data,0.931376,ATTACK,0.931376
112,7.170723,192.168.100.130,47.246.7.204,TLSv1.2,720,Application Data,0.931376,ATTACK,0.931376
113,7.170825,192.168.100.130,47.246.7.204,TLSv1.2,1553,Application Data,0.931376,ATTACK,0.931376
114,7.248398,47.246.7.204,192.168.100.130,TCP,60,443  >  61814 [ACK] Seq=867 Ack=1218 Win=83 Len=0,0.931376,ATTACK,0.931376
115,7.253255,47.246.7.204,192.168.100.130,TCP,60,443  >  61814 [ACK] Seq=867 Ack=2630 Win=82 Len=0,0.931376,ATTACK,0.931376
116,7.254793,47.246.7.204,192.168.100.130,TCP,60,443  >  61814 [ACK] Seq=867 Ack=2717 Win=83 Len=0,0.931376,ATTACK,0.931376
117,7.717512,47.246.7.204,192.168.100.130,TLSv1.2,1063,Application Data,0.931376,ATTACK,0.931376
118,7.754137,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
119,7.769606,192.168.100.130,47.246.7.204,TCP,54,61814  >  443 [ACK] Seq=2717 Ack=1876 Win=255 Len=0,0.931376,ATTACK,0.931376
120,7.794687,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
121,7.891873,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
122,8.096596,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
123,8.318203,Intel_45:55:60,TecnoMobile_f6:cd:a1,ARP,42,Who has 192.168.100.5? Tell 192.168.100.130,0.931376,ATTACK,0.931376
124,8.346681,TecnoMobile_f6:cd:a1,Intel_45:55:60,ARP,64,192.168.100.5 is at 20:26:81:f6:cd:a1,0.931376,ATTACK,0.931376
125,8.593868,fe80::342f:3ff:fe0e:101f,ff02::fb,MDNS,139,"Standard query 0x0017 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question",0.931376,ATTACK,0.931376
126,8.608,192.168.100.125,224.0.0.251,MDNS,119,"Standard query 0x0017 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question",0.931376,ATTACK,0.931376
127,10.024445,TecnoMobile_f6:cd:a1,Intel_45:55:60,ARP,64,Who has 192.168.100.130? Tell 192.168.100.5,0.931376,ATTACK,0.931376
128,10.024494,Intel_45:55:60,TecnoMobile_f6:cd:a1,ARP,42,192.168.100.130 is at e0:d4:e8:45:55:60,0.931376,ATTACK,0.931376
129,10.328875,192.168.100.130,13.107.6.158,TCP,55,15402  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,0.931376,ATTACK,0.931376
130,10.34459,192.168.100.130,192.168.1.4,TCP,66,[TCP Retransmission] 57204  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
131,10.467503,13.107.6.158,192.168.100.130,TCP,66,443  >  15402 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
132,10.516676,fe80::fc0b:e4ff:feb3:7946,ff02::fb,MDNS,123,"Standard query 0x0005 PTR _googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question",0.931376,ATTACK,0.931376
133,10.553977,192.168.100.11,224.0.0.251,MDNS,103,"Standard query 0x0005 PTR _googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question",0.931376,ATTACK,0.931376
134,10.983827,192.168.100.130,57.144.139.32,TLSv1.2,124,Application Data,0.931376,ATTACK,0.931376
135,10.996774,57.144.139.32,192.168.100.130,TCP,60,443  >  60990 [ACK] Seq=1 Ack=71 Win=528 Len=0,0.931376,ATTACK,0.931376
136,11.13933,57.144.139.32,192.168.100.130,TLSv1.2,126,Application Data,0.931376,ATTACK,0.931376
137,11.19179,192.168.100.130,57.144.139.32,TCP,54,60990  >  443 [ACK] Seq=71 Ack=73 Win=507 Len=0,0.931376,ATTACK,0.931376
138,11.611564,192.168.100.130,4.213.133.127,TCP,55,1460  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,0.931376,ATTACK,0.931376
139,11.810076,4.213.133.127,192.168.100.130,TCP,66,443  >  1460 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
140,11.904765,104.18.39.21,192.168.100.130,TLSv1.2,82,Application Data,0.931376,ATTACK,0.931376
141,11.905055,192.168.100.130,104.18.39.21,TLSv1.2,82,Application Data,0.931376,ATTACK,0.931376
142,11.916797,104.18.39.21,192.168.100.130,TCP,64,443  >  54876 [ACK] Seq=25 Ack=29 Win=19 Len=0,0.931376,ATTACK,0.931376
143,13.31923,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
